"Rank","Name","MLB ID","FV","ETA","Position","Team"
"1","Konnor Griffin","804606","70","2026","SS/OF","Pittsburgh Pirates"
"2","Nolan McLean","690997","64","2026","RHP",""
"3","Jesús Made","815908","62","2027","SS/2B","Milwaukee Brewers"
"4","Kevin McGonigle","805808","62","2026","SS","Detroit Tigers"
"5","Samuel Basallo","694212","62","2026","C/1B",""
"6","Bubba Chandler","696149","60","2026","RHP",""
"7","Max Clark","703601","60","2026","OF","Detroit Tigers"
"8","Leo De Vries","815888","60","2026","SS","Athletics"
"9","Trey Yesavage","702056","58","2026","RHP",""
"10","Colt Emerson","806068","58","2026","SS","Seattle Mariners"
"11","Carson Benge","701807","58","2026","OF","New York Mets"
"12","JJ Wetherholt","802139","58","2026","INF","St. Louis Cardinals"
"13","Aidan Miller","805795","57","2026","SS","Philadelphia Phillies"
"14","Thomas White","806258","60","2026","LHP","Miami Marlins"
"15","Eli Willits","816113","56","2028","SS","Washington Nationals"
"16","Sebastian Walcott","806964","56","2027","SS/3B","Texas Rangers"
"17","Payton Tolle","801139","55","2026","LHP","Boston Red Sox"
"18","Andrew Painter","691725","55","2026","RHP",""
"19","Ryan Sloan","815549","55","2028","RHP","Seattle Mariners"
"20","Chase DeLauter","800050","55","2026","OF",""
"21","Luis Peña","821270","55","2028","INF","Milwaukee Brewers"
"22","Bryce Eldridge","805811","55","2026","1B","San Francisco Giants"
"23","Liam Doyle","824604","53","2027","LHP","St. Louis Cardinals"
"24","Josue De Paula","800543","54","2027","OF","Los Angeles Dodgers"
"25","Jarlin Susana","703186","53","2027","RHP","Washington Nationals"
"26","Franklin Arias","808265","53","2027","SS","Boston Red Sox"
"27","Bryce Rainer","800614","53","2028","SS","Detroit Tigers"
"28","Walker Jenkins","805805","53","2026","OF","Minnesota Twins"
"29","Alfredo Duno","806957","53","2028","C","Cincinnati Reds"
"30","Carson Williams","700246","53","2026","SS",""
"31","Carter Jensen","695600","53","2026","C",""
"32","Kade Anderson","807739","52","2027","LHP","Seattle Mariners"
"33","Jonah Tong","804636","52","2026","RHP","New York Mets"
"34","Robby Snelling","702281","52","2026","LHP","Miami Marlins"
"35","Connelly Early","813349","52","2026","LHP",""
"36","Tyler Bremner","803285","51","2026","RHP","Los Angeles Angels"
"37","Zyhir Hope","814307","52","2027","OF","Los Angeles Dodgers"
"38","Sal Stewart","701398","52","2026","INF",""
"39","Seth Hernandez","815825","51","2028","RHP","Pittsburgh Pirates"
"40","Edward Florentino","821273","52","2028","OF/1B","Pittsburgh Pirates"
"41","Kyson Witherspoon","804817","51","2027","RHP","Boston Red Sox"
"42","Parker Messick","800048","51","2026","LHP",""
"43","Travis Sykora","805809","51","2028","RHP","Washington Nationals"
"44","Carlos Lagrange","801739","51","2026","RHP","New York Yankees"
"45","Gage Jump","695611","51","2026","LHP","Athletics"
"46","Jaxon Wiggins","694393","51","2026","RHP","Chicago Cubs"
"47","Brody Hopkins","811315","51","2026","RHP","Tampa Bay Rays"
"48","Rhett Lowder","695076","51","2026","RHP",""
"49","Eduardo Quintero","808234","51","2028","OF","Los Angeles Dodgers"
"50","Noah Schultz","702273","51","2026","LHP","Chicago White Sox"
"51","Jurrangelo Cijntje","701388","51","2026","RHP","St. Louis Cardinals"
"52","Khal Stephen","701590","50","2026","RHP","Cleveland Guardians"
"53","Angel Genao","694197","51","2026","SS","Cleveland Guardians"
"54","Jake Bloss","814005","50","2026","SP","TOR"
"55","Ryan Waldschmidt","814439","51","2026","OF","Arizona Diamondbacks"
"56","Dax Kilby","828076","51","2028","SS","New York Yankees"
"57","Braden Montgomery","695731","51","2026","OF","Chicago White Sox"
"58","Emil Morales","815896","51","2029","SS","Los Angeles Dodgers"
"59","Ethan Holliday","815787","51","2029","SS","Colorado Rockies"
"60","JR Ritchie","702275","51","2026","RHP","Atlanta Braves"
"61","Caleb Bonemer","815352","51","2028","SS/3B","Chicago White Sox"
"62","Dylan Beavers","687637","51","2026","OF",""
"63","Didier Fuentes","800311","50","2026","RHP",""
"64","Aiva Arquette","804109","51","2028","SS","Miami Marlins"
"65","Joe Mack","691788","51","2026","C","Miami Marlins"
"66","Eduardo Tait","806953","51","2028","C","Minnesota Twins"
"67","Michael Arroyo","703197","51","2026","2B","Seattle Mariners"
"68","Ralphy Velazquez","806252","51","2027","1B/OF","Cleveland Guardians"
"69","Hagen Smith","696146","51","2026","LHP","Chicago White Sox"
"70","Christian Oppor","803291","50","2027","SP","CHW"
"71","Brandon Sproat","687075","51","2026","RHP",""
"72","Jonny Farmelo","806071","51","2028","OF","Seattle Mariners"
"73","Moisés Ballesteros","694208","51","2026","C",""
"74","Travis Bazzana","683953","51","2026","2B","Cleveland Guardians"
"75","George Lombard Jr.","806146","51","2027","INF","New York Yankees"
"76","Kaelen Culpepper","701785","51","2027","SS","Minnesota Twins"
"77","Arjun Nimmala","805796","51","2028","SS","Toronto Blue Jays"
"78","Charlie Condon","809707","51","2026","1B/OF","Colorado Rockies"
"79","River Ryan","689981","50","2026","RHP","Los Angeles Dodgers"
"80","Caden Scarborough","807291","50","2027","RHP","Texas Rangers"
"81","Michael Forret","702650","50","2027","RHP","Tampa Bay Rays"
"82","Jack Wenninger","811307","50","2026","RHP","New York Mets"
"83","Logan Henderson","701656","50","2026","RHP","Milwaukee Brewers"
"84","Jett Williams","702518","51","2026","SS/2B/OF","Milwaukee Brewers"
"85","Harry Ford","695670","51","2026","C","Washington Nationals"
"86","Owen Caissie","683357","51","2026","OF",""
"87","Jhonny Level","815929","50","2029","SS","San Francisco Giants"
"88","Ethan Salas","806956","50","2027","C","San Diego Padres"
"89","Josue Briceño","800522","51","2027","C/1B","Detroit Tigers"
"90","George Klassen","691946","50","2026","RHP","Los Angeles Angels"
"91","Lazaro Montes","703155","51","2027","OF","Seattle Mariners"
"92","Billy Carlson","815814","49","2029","SS","Chicago White Sox"
"93","Blake Mitchell","805810","51","2027","C","Kansas City Royals"
"94","Cam Caminiti","807284","49","2027","LHP","Atlanta Braves"
