mlb_api_id,team_abbreviation,status,2026,acquired
671096,CLI,O3,0.7,D 2021
690953,SIL,O,0,T 10/25 (GIL)
691769,SAN,O,0,D 2023
685095,PON,O1,0.5,R5 2025 (PTR)/D 2021
682928,JAC,A1,0.980135424,D 2019
650556,PUG,A2,6.288437333,T 5/19 (MIN)
677800,SIL,O2,0.6,T 10/22 (BBS)
691185,EMP,O,0,D 2020
682668,CLI,O1,0.5,T 11/22(CHA)
660670,MAI,FA4,15.496599,D 2015
592094,SPR,FA1,6.129086,T 11/25 (DEL)
642715,LRR,FA3,22.072324,FA 1/26
656180,VAN,A2,0.74,D 2017
701519,SAR,O1,0.5,D 2023
666176,SCS,A3,0.7,T 11/25 (LAK)
687924,VAN,O1,0.4,D 2021
669211,NOR,A3,1.008461,T 10/17 (SPR)
645277,LRR,FA1,5.09045809,D 2014
660896,SIL,FA1,0.4,FA 1/26
682634,JAC,O,0,T 10/22 (EMP)
645261,SAR,FA4,12,FA 1/25
691951,PON,O,0,D 2021
669920,NOR,FA2,3.525606,FA 1/26
641302,SAN,FA1,0.888,D 2015
677942,SIL,O1,0.5,T 7/23 (EMP)
663465,RIV,FA1,1.101168,FA 4/24
671106,PUG,O3,0.6,D 2020
669397,SAR,A2,0.592,R5 2021 (SAN)
624413,GIL,FA2,11.174035,T 1/24 (CHA)
656186,SAN,FA1,0,FA 8/25
514888,LAK,FA4,5.840916,FA 1/26
621237,JAC,FA1,4.603795115,T 11/22 (BAR)
665660,RIV,O1,0.41,D 2021
670541,LRR,FA3,13.026317,FA 1/26
682626,MEM,O3,0.7,D 2019
674841,NOR,O,0,D 2021
805373,SIL,O1,0.4028,D 2022
691182,WYO,O1,0.74,T 11/23 (SHS)
676070,ECB,FA1,0.42,FA 1/24 (G)
665804,SAR,O3,0.67086784,T 1/22 (SPR)
542881,PTR,FA1,7.843767,FA 1/26
681982,SPR,O3,0.4,T 11/25 (CHI)
609280,ECB,FA1,0.74,FA 4/24
701350,NOR,O1,0.5,D 2022
666018,DEL,O3,0.7,D 2017
606115,SPR,FA1,1.493409,FA 1/26
571448,RIV,FA2,8.865064,FA 1/26
672356,SHS,O3,0.52,D2017
542888,PHO,FA5,3.599375425,FA 1/25
668227,DEL,A2,4.784826,T 11/20 (SIL)
650333,SAR,HD2,5.476005,D 2015
681293,LRR,O2,0.416,D 2021
676879,CLI,A2,2.279760472,D 2018
677952,MEM,O3,0.7,R5 12/23 (SAR)
668933,VAN,A1,0.98361008,D 2019
665871,MAI,FA3,3.85875,FA 1/26
679883,CLI,O,0.4,D 2021
669199,GIL,FA1,0.74,FA 4/25
696147,CHI,O1,0.4,D 2021
679775,PUG,O,0,D 2021
664056,BBS,FA1,5.733098149,T 11/25 (PON)
695491,DEL,O,0,T 11/25 (SCS)
595879,PUG,FA1,0.7875,T 2/26 (SPR)
672275,STL,O3,0.7,T 11/23 (DEL)
641329,ECB,FA3,5.388897,FA 1/26
681460,BBS,O2,0,T 1/22 (DEL)
686948,PON,O1,0.5,D 2022
694208,CHI,O,0,D 2022
607455,ECB,FA1,0.74,T 11/25 (SCS)
621383,NOR,FA,2.854867,FA 1/24 (G)
683145,EMP,O,0,T 7/21 (SAC)
682995,SAR,O,0,D 2023
680718,SAR,O3,0.7,R5 12/23 (BAR)
605130,ECB,FA2,2.430664,FA 1/26
686930,SIL,O,0.4,T 1/26 (CLI)
678489,ECB,FA1,0.4,FA 1/26
663698,WYO,A3,0.65086784,T 1/23 (PON)
694212,LRR,O,0.4063332,D 2022
605135,STL,FA2,12.582237,T 1/26 (PON)
683146,DEL,O3,0.7,T 12/23 (PUG)
641343,VAN,A2,0.4,MLFA 23
691945,GIL,O,0,T 1/22 (QCL)
642585,BBS,A1,0.74610775,T 11/23 (DEL)
669358,SAR,A1,1.411327,T 12/20 (SCS)
660825,STL,O3,0.7,FA 11/24
687637,SIL,O1,0.4,T 10/25 (GIL)
663941,SAC,O3,0.402008,D 2022
687597,WYO,O2,0.5,D 2022
687218,GIL,O,0,T 10/25 (NEW)
670280,LRR,A2,2.740198758,T 11/20 (SCS)
656222,SAR,FA1,0.74,T 7/25 (SPR)
605137,SAC,FA1,4.5,T 11/25 (VAN)
641355,CHI,HD1,3.446988019,T 11/14 (SPR)
678394,WYO,A1,3.596065347,T 1/23 (PON)
678368,CHA,FA,2.09475,FA 1/25
669622,DEL,FA1,2.720661,FA 11/24
643217,WYO,FA1,6,FA 1/25
666181,SAN,O2,0.5,D 2016
686701,SAC,O1,0.5,D 2021
682653,CHA,O,0,T 11/25 (DEL)
621244,PON,FA2,29.425,FA 1/23 (G)
542932,SPR,FA1,0.525,FA 1/25
605141,SCS,FA4,15.64419466,D 2011
676440,SCS,O3,0.7,D 2022
666182,SCS,FA2,5.406988,T 3/24 (PON)
674370,LAK,FA1,0.7,FA 1/24 (G)
669456,JAC,FA3,9.8,FA 1/25
685801,NOR,O1,0,D 2019
624415,PON,FA2,2.25,FA 1/25
656234,CHA,A1,0.48,T 2/25 (MEM) 
806185,SAC,O2,0.4,D 2022
702352,SAC,O2,0.42,D 2022
696131,CLI,O2,0.6,T 11/23 (SAC)
621112,CHA,FA,0.82944,FA 1/22 (G)
687134,SAN,O2,0.5,D 2021
669854,RIV,FA1,1.179013,FA 1/26
668709,PTR,A1,0.7,D 2019
669208,VAN,O1,0.5,R5 2024 (LAK)
814005,DEL,FA1,0,FA 1/26
805123,PTR,O,0,D 2022
593428,SAC,FA2,10.019946,T 1/23 (PGF)
664761,SAN,A3,3.88908752,D 2018
621366,PON,FA1,0.4,FA 1/26
680742,SIL,FA1,1.693198,FA 1/26
571510,WYO,FA1,9.110376407,FA 1/23 (G)
671212,EMP,O2,0.4,D 2020
674003,WYO,O3,0.5,D 2021
680694,SCS,HD5,3.44685624,D 2021
671737,SIL,O3,0.7,T 11/23 (PUG)
666374,GIL,A1,0.7,T 10/25 (SCS)
518489,EMP,FA2,0.4,FA 1/25
623211,RIV,FA1,2.559622,FA 1/26
608324,PUG,FA2,7.123508081,T 12/23 (DEL) (G)
686823,MAI,O2,0.4,D 2019
681146,JAC,FA1,0.4,FA 1/26
641401,RIV,FA1,0.4,FA 1/26
676962,GIL,O2,0.4,T 4/23 (MIN)
686613,GIL,O3,0.7,T 10/25 (SIL)
664141,BBS,A3,0.41,CW 2/25
660644,SAN,A1,0.7,D 2016
592178,PON,FA1,4.5,T 10/25 (DEL)
663460,SCS,FA1,11.10600447,T 11/25 (PON)
621111,ECB,FA1,10.908,D 2016
607481,WYO,FA1,0.74,FA 1/23 (G)
669394,PTR,A1,1.309928,D 2018
686228,RIV,O,0,D 2021
680732,CHI,O1,0.5,T 11/22 (CHA)
656271,RIV,A2,0.7,T 1/19 (HIG)
676475,MEM,O3,0.7,D 2020
669203,NOR,FA3,23.111033,D 2016
621114,JAC,FA,0,FA 4/25
681347,GIL,O1,0.5,T 1/23 (EMP)
683737,CHA,O2,0.6,T 1/24 (GIL)
671732,LAK,O3,0.7,T 11/23 (PGF)
676130,GIL,O2,0.6,T 1/23 (DEL)
621439,DEL,FA3,8.600001,FA 1/24 (G)
676609,CHA,FA1,4.12776,FA 1/24 (G)
650893,EMP,FA2,0.770129,FA 1/26
665795,GIL,A1,3.283606388,T 7/24 (BBS)
665828,LRR,A1,0.5,D 2016
695506,SAR,O1,0.5,D 2024
683357,WYO,O,0,T 11/23 (PGF)
669743,PTR,FA1,1.328181,FA 1/23 (G)
702070,CLI,O1,0.5,D 2022
691406,SCS,O2,0.6,T 11/23 (BAR)
692225,ECB,O1,0.4,D 2023
669134,SIL,O3,0.4,T 10/22 (BBS)
672744,LRR,O1,0.4,T 7/20 (STU)
656288,NOR,FA,0.83098,D 2018
686563,ECB,O2,0.5,D 2022
666974,SAR,A1,0.56,FA 4/23
676282,BBS,O2,0.6,T 7/24 (GIL)
686527,PUG,O3,0.7,D 2019
605170,SPR,FA1,1.391376,T 11/17 (CAR)
666185,JAC,A3,0.74,T 6/14 (SPR)
681481,PON,A1,1.542121634,T 1/23 (CHA)
471911,CHA,FA1,6.426,FA 1/24 (G)
682998,SIL,A1,5.577949,D 2019
694497,SAR,O3,0.7,D 2020
671213,ECB,A1,0.7,D 2018
676508,MAI,O1,0.5,D 2021
592206,PTR,FA1,13.384958,D 2010
622491,MAI,FA2,14.951067,T 11/23 (CLI)
650489,JAC,FA1,12.132911,FA 1/26
676917,LAK,O1,0.5,D 2020
656302,PUG,FA4,20.88115066,T 11/22 (CHA)
677944,SAN,O2,0.491,T 10/22 (SPR)
605177,CHA,FA1,0.74,FA 1/24 (G)
696149,SCS,O,0,D 2021
665953,SAN,FA1,0.4,FA 1/26
547973,GIL,FA1,2.750578,T 10/25 (VAN)
