TEAM	BUDGET	ROSTER	IP	PA
BBS	26757856	10	680	1632
CHA	41099746	5	549	2812
CHI	47676934	5	580	1119
CLI	32492659	2	494	1364
DEL	5866532	6	333	541
ECB	34572731	7	777	1276
EMP	6082824	10	756	2150
GIL	20149024	1	0	478
JAC	33683284	10	716	1841
LAK	38726818	14	849	1440
LRR	80126648	11	836	1623
MAI	22954055	11	734	1943
MEM	57786474	4	253	3197
NEW	13327558	4	271	0
NOR	21622441	4	498	1222
PON	27495381	8	589	2136
PTR	64376190	12	581	2646
PUG	30409037	5	309	959
RIV	82647042	16	1245	1692
SAC	24700128	8	388	2040
SAN	4924225	5	431	1088
SAR	28633115	1	116	2146
SCS	229107176	2	223	17
SFS	15406871	15	846	3136
SHS	64599746	6	1080	1129
SIL	68334650	13	757	2789
SPR	0	6	421	1405
STL	51640412	12	798	3721
VAN	26104649	1	674	1835
WYO	73486611	8	664	1766
